name,address,url,dates,opening_hours
Weihnachtsmarkt Grunewaldkirche Berlin,Grunewaldkirche Furtwänglerstr. 5 14193 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/weihnachtsmarkt-grunewaldkirche-berlin-399.html,03.12.2023 - 03.12.2023,"[('SO', '10:00 - 19:00 Uhr')]"
Weihnachtsmarkt St.-Michaels-Heim in Grunewald in Berlin,St.-Michaels-Heim Bismarckallee 23 14193 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/weihnachtsmarkt-st-michaels-heim-grunewald-berlin-400.html,02.12.2023 - 03.12.2023,"[('SA', '14:00 - 20:00 Uhr'), ('SO', '12:00 - 18:00 Uhr')]"
Domänen-Adventsmarkt Berlin-Dahlem,Königin-Luise-Str. 49 14195 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/domaenen-adventsmarkt-berlin-dahlem-401.html,01.12.2023 - 17.12.2023,"[('FR', '14:00 - 20:00 Uhr'), ('SA', '11:00 - 20:00 Uhr'), ('SO', '11:00 - 20:00 Uhr')]"
Grünauer Weihnachtsmarkt Berlin,Grünauer Friedenskirche Don-Ugoletti-Platz 12527 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/gruenauer-weihnachtsmarkt-berlin-2690.html,03.12.2023 - 03.12.2023,"[('SO', '13:00 - 20:00 Uhr')]"
Weihnachten an der Spree - all-inclusive Weihnachtsmarkt in Berlin,Spreespeicher an der Oberbaumbrücke Stralauer Allee 2 10245 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/weihnachten-spree-all-inclusive-weihnachtsmarkt-berlin-3182.html,20.11.2023 - 23.12.2023,"[('MO', '17:00 - 22:00 Uhr'), ('DI', '17:00 - 22:00 Uhr'), ('MI', '17:00 - 22:00 Uhr'), ('DO', '17:00 - 22:00 Uhr'), ('FR', '17:00 - 22:00 Uhr'), ('SA', '17:00 - 22:00 Uhr'), ('SO', '17:00 - 22:00 Uhr')]"
Winterzauber Berlin - Weihnachtsmarkt an der Landsberger Allee,Landsberger Allee 300 10365 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/winterzauber-berlin-weihnachtsmarkt-3079.html,03.11.2023 - 30.12.2023,"[('MO', '14:00 - 21:30 Uhr'), ('DI', '14:00 - 21:30 Uhr'), ('MI', '14:00 - 21:30 Uhr'), ('DO', '14:00 - 21:30 Uhr'), ('FR', '13:00 - 23:00 Uhr'), ('SA', '13:00 - 23:00 Uhr'), ('SO', '14:00 - 21:00 Uhr')]"
Christsternmarkt Lankwitz-Kirche,"Lankwitz-Kirche, Dreifaltigkeits-Gemeinde Gallwitzallee 2-6 / Paul-Schneider-Straße 2 / Kaiser-Wilhelm-Straße 12249 Berlin",https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/christsternmarkt-lankwitz-kirche-1392.html,02.12.2023 - 02.12.2023,"[('SA', '13:00 - 18:00 Uhr')]"
WeihnachtsZauber Gendarmenmarkt an der Staatsoper,Bebelplatz 10117 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/weihnachtszauber-gendarmenmarkt-1477.html,27.11.2023 - 31.12.2023,"[('MO', '12:00 - 22:00 Uhr'), ('DI', '12:00 - 22:00 Uhr'), ('MI', '12:00 - 22:00 Uhr'), ('DO', '12:00 - 22:00 Uhr'), ('FR', '12:00 - 22:00 Uhr'), ('SA', '12:00 - 22:00 Uhr'), ('SO', '12:00 - 22:00 Uhr')]"
Weihnachtsmarkt Jagdschloss Grunewald,Schlosshof Hüttenweg 100  14193 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/weihnachtsmarkt-jagdschloss-grunewald-1512.html,09.12.2023 - 10.12.2023,"[('SA', '11:00 - 19:00 Uhr'), ('SO', '11:00 - 19:00 Uhr')]"
Berlin - Spandauer Weihnachtsmarkt und Lichterzauber Zitadelle,Zitadelle Spandau Am Juliusturm 64 13599 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/berlin-spandau-spandauer-weihnachtsmarkt-1510.html,27.11.2023 - 30.12.2023,"[('MO', '12:00 - 20:00 Uhr'), ('DI', '12:00 - 20:00 Uhr'), ('MI', '12:00 - 20:00 Uhr'), ('DO', '12:00 - 20:00 Uhr'), ('FR', '12:00 - 22:00 Uhr'), ('SA', '12:00 - 22:00 Uhr'), ('SO', '12:00 - 20:00 Uhr')]"
